model_key,source_file,rate,batch_size,sum_prompt_len,max_prompt_len,sum_prompt_len_sq,duration_ms
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1088,1088,1183744,190.56818494573236
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1135,1135,1288225,190.4663888271898
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1334,1334,1779556,171.83390515856445
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1179,1179,1390041,160.03558319061995
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1304,1304,1700416,172.4271068815142
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1305,1305,1703025,168.7225690111518
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1599,1599,2556801,198.48095998167992
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1387,1387,1923769,172.523032175377
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1120,1120,1254400,147.31944305822253
/users/rh/.cache/modelscope/hub/models/LLM-Research/llama-2-7b/converted_bin_v2,/tmp/cuda_data_llama7b_fit_infer_batch_view/fit/llama_7B/ascend-vllm-120-1.5.exp,1.5,1,1410,1410,1988100,232.5341058894992
